claim_id,claim_date,sale_id,repair_status
CL-58750,30/01/2024,YG-8782,Completed
CL-8874,25/06/2024,QX-999001,Pending
CL-14486,13/08/2024,JG-46890,Pending
CL-42187,19/09/2024,XJ-1731,Pending
CL-37590,16/09/2024,FG-95080,Completed
CL-30514,05/09/2024,II-3954,Pending
CL-47122,07/07/2024,ES-7238,Completed
CL-5722,10/03/2024,YO-701453,In Progress
CL-75561,24/01/2024,JB-46303,Completed
CL-3634,26/10/2024,QY-9761,In Progress
CL-8719,14/07/2024,RR-9679,Rejected
CL-49704,03/04/2024,PT-825391,Rejected
CL-35213,23/01/2024,JY-9420,Completed
CL-27667,06/10/2024,WB-9150,Pending
CL-7124,04/01/2024,UN-941274,Completed
CL-3763,19/02/2024,KL-629620,Completed
CL-6383,05/02/2024,LH-1755,Pending
CL-6345,16/04/2024,LK-385613,In Progress
CL-78615,09/11/2024,JM-75607,Completed
CL-29490,14/03/2024,UJ-07947,Completed
CL-27770,07/10/2024,BG-145539,Pending
CL-12189,12/11/2024,NY-82428,Completed
CL-34828,10/04/2024,HL-0239,Rejected
CL-3992,17/05/2024,VT-954957,Pending
CL-9801,17/02/2024,KE-5276,Pending
CL-13943,22/06/2024,DL-0438,Completed
CL-23879,04/05/2024,GN-099683,In Progress
CL-655,17/02/2024,KD-9288,Rejected
CL-4071,25/06/2024,KZ-5319,Pending
CL-7338,01/05/2024,HL-8173,In Progress
CL-44291,05/10/2024,SJ-237458,Pending
CL-8833,25/06/2024,CA-4116,Completed
CL-81539,05/07/2024,YD-9562,Rejected
CL-95282,01/08/2024,AY-284049,Pending
CL-77130,21/05/2024,JK-48840,Completed
CL-62847,20/08/2024,DG-41810,Pending
CL-29479,13/01/2024,GA-51592,In Progress
CL-63006,21/02/2024,XR-468203,Pending
CL-7637,31/08/2024,PB-49088,Pending
CL-16284,03/03/2024,NQ-18124,Completed
CL-4847,09/07/2024,KW-685823,In Progress
CL-99597,17/02/2024,XW-88833,Pending
CL-94274,23/01/2024,GS-514137,Rejected
CL-31307,02/01/2024,XZ-59032,Pending
CL-10956,27/06/2024,TV-7529,Completed
CL-94965,15/06/2024,PN-2930,Completed
CL-12667,19/03/2024,MO-0340,Pending
CL-46503,05/04/2024,AJ-06146,Pending
CL-4210,12/08/2024,QY-3310,Completed
CL-7319,18/07/2024,GP-0357,Completed
CL-72333,11/03/2024,WF-7320,Rejected
CL-60781,02/02/2024,TY-94722,Rejected
CL-44251,08/11/2024,IY-24756,In Progress
CL-27142,18/03/2024,QG-736417,Pending
CL-94775,31/01/2024,FL-9609,Pending
CL-49125,29/05/2024,JC-31529,Completed
CL-57103,26/09/2024,HA-2666,Completed
CL-6811,30/08/2024,SO-324887,Pending
CL-5201,04/08/2024,OQ-95189,Pending
CL-10004,25/03/2024,XH-3411,Completed
CL-68937,23/09/2024,JF-8355,In Progress
CL-8853,08/05/2024,NH-656788,Rejected
CL-49718,16/10/2024,VT-69104,Pending
CL-45259,26/09/2024,SO-60574,In Progress
CL-89119,16/04/2024,IA-66554,Completed
CL-19604,12/02/2024,MD-2087,Pending
CL-60046,16/02/2024,CN-1026,In Progress
CL-74641,16/02/2024,RS-471854,Pending
CL-28544,26/10/2024,SV-63203,Completed
CL-40548,12/03/2024,TZ-663653,Pending
CL-8793,06/02/2024,RD-066638,In Progress
CL-37862,08/10/2024,XG-052506,In Progress
CL-96660,07/05/2024,NI-845862,Rejected
CL-20699,26/09/2024,ND-096052,In Progress
CL-7073,13/09/2024,LW-55109,Completed
CL-44319,11/06/2024,HF-13620,Rejected
CL-40074,11/01/2024,CA-6813,Pending
CL-16423,23/06/2024,TW-7702,Completed
CL-94922,30/06/2024,AQ-91241,Pending
